name,dob,designation,workType,email,phoneNumber,adharNumber,gender,address,shift
Katherine Stevenson,1956-11-03,Technician,Temporary,mariawerner@example.org,001-941-967-3174x01448,555428653225,Female,"4311 Coleman Ridge Apt. 170
Calebchester, TX 90297",8B
Frederick Wilson,1921-05-17,Supervisor,Full-time,jasonmiller@example.net,001-980-421-5095x4891,491944413209,Male,"PSC 2652, Box 4154
APO AA 45108",GS
Rodney Klein,1919-09-23,Manager,Full-time,amanda01@example.org,+1-582-443-1740x98921,949200632567,Male,"86192 Ross Pines Suite 964
Port Lisa, FM 27400",GS
Linda Rosales,1927-12-17,Technician,Full-time,leemily@example.com,001-420-667-6957,513699226094,Male,"3048 Natalie Trail Apt. 744
Ryanville, MT 53464",12B
Cathy Rios,1954-01-23,Engineer,Part-time,jessica22@example.net,001-430-543-7873x33319,623281245158,Male,"51686 Farmer Groves Apt. 752
South Roberthaven, KS 32452",8B
Nicholas Fleming,1938-12-30,Technician,Temporary,fjohnson@example.com,244.394.1810x5255,473987809087,Female,"770 Bates Cliff Suite 290
Stonefort, WA 01229",8G
David Mitchell,1953-12-18,Manager,Contract,kim86@example.com,(240)573-6838x0150,247508223087,Male,"57578 Colleen Port Suite 729
West Veronica, MH 93134",8G
Matthew Bean,1934-11-30,Supervisor,Contract,jayhuff@example.com,+1-630-682-8946x2201,654881264046,Male,"6334 Tapia Junctions
Robertmouth, TX 10854",12A
David Neal,2004-02-07,Supervisor,Contract,burketony@example.net,3956560541,663702234888,Female,"3725 Robert Villages Suite 926
East Lindaborough, MP 21857",8C
Shawn Vasquez,1991-10-04,Technician,Temporary,lesliescott@example.net,+1-733-231-8462x20047,352584288677,Male,"64160 Rivera Spring Apt. 123
Johntown, WA 90916",12B
Eric Hall,2002-07-07,Manager,Contract,charleshernandez@example.com,001-248-327-8521x2221,294775793905,Male,"673 Thomas Unions
Arellanoview, GA 26395",8C
Eduardo Rice,1950-10-11,Technician,Part-time,lawrencesteven@example.com,+1-452-963-0503x08279,965302551870,Female,"53666 Amber Crossing
Davidfurt, SC 41669",8A
Bryan Taylor,1982-07-31,Manager,Part-time,meyerscott@example.net,(253)469-5397,357866336999,Male,"23316 Jeffrey Walk
Lake Tabitha, IL 94745",12A
Douglas Church,2002-06-27,Manager,Full-time,stephanie16@example.net,634-996-5978,899763902376,Male,"08714 Wright Turnpike
North Daniellemouth, LA 55860",8B
Cynthia Wilson,1923-02-03,Manager,Contract,brandypace@example.com,984.602.2870,368227649956,Female,"022 Melissa Drives Apt. 540
Port Timothymouth, MO 63637",8G
Anthony Whitney,1927-01-06,Engineer,Temporary,andrewcastillo@example.net,8323389552,876809692147,Female,"456 Swanson Run
North Ryan, AK 40960",8G
Amanda Pena,1929-08-10,Assistant,Full-time,jo10@example.com,001-359-631-5421x3234,950528867272,Female,"7837 Martin Cliff
Lake Karen, OK 10645",10A
Angelica Garner,1967-02-24,Supervisor,Temporary,xbrown@example.net,001-376-775-5695x0371,237706934084,Male,"86300 John Keys
East Shelby, ND 09717",12A
Timothy Davis,1960-05-13,Engineer,Part-time,graveserin@example.com,001-359-242-1969,801203953773,Male,"347 Fletcher Rapids Apt. 324
Port Sarah, OR 48009",8C
Alex Jackson,1914-03-28,Technician,Full-time,spenceanthony@example.org,+1-251-668-9658x87683,160840216582,Male,"582 Paul Flats
Mckinneyshire, MT 49782",10A
Ronald Lewis,1920-01-10,Manager,Contract,morganchristopher@example.com,(246)242-7863,859411716195,Male,"391 Johnson Center
Peterchester, OK 52776",12A
David Santos,1924-12-18,Supervisor,Temporary,johnsonrebecca@example.com,(445)773-6017x9657,857282891105,Female,"363 Michele Gateway Suite 893
New Tylerville, MO 37148",10A
Joyce Wallace,1989-03-03,Technician,Part-time,gibsonerika@example.com,875.509.1226,116852924570,Female,"6936 Landry Vista Apt. 046
Anthonyland, MI 89413",8A
Kimberly Watkins,1965-04-16,Supervisor,Part-time,jeanlove@example.org,+1-417-849-4132x9610,108588018395,Male,"2234 Steele Courts Apt. 601
Lisaborough, VI 23950",12A
Lisa Butler,1923-02-17,Supervisor,Contract,lanejessica@example.org,+1-222-643-5276x91072,282163480320,Female,"577 Vazquez Spurs
Martinezview, CA 45812",8A
Kyle Parker,1966-12-04,Supervisor,Part-time,lopezlinda@example.org,972-297-9177x1053,166741230534,Male,"Unit 3273 Box 2823
DPO AA 80843",8G
Travis Hurst,1933-07-24,Engineer,Full-time,brett61@example.org,9719775321,874471923656,Male,"5381 Jonathan Island Apt. 466
Millerton, MS 81476",8G
Stephen Miller,1990-12-05,Engineer,Part-time,susan81@example.net,7427218167,360237565574,Female,"PSC 6203, Box 8699
APO AP 64255",8B
Bobby Roberts,1989-02-16,Supervisor,Contract,rachelcarpenter@example.org,+1-219-841-5035x19783,531906230341,Female,"78864 Strickland Shoal
Port Terri, AS 72294",8B
Erin Roberts,1939-04-05,Technician,Full-time,leezachary@example.org,(632)784-6154x456,579011014922,Female,"6894 Jones Road
Lake Jose, GU 83902",8C
